id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiami0(mg);Riboflavi0(mg);Piridoxi0(mg);Niaci0(mg);Vitami0_C(mg)
428;0.01;290;0.8;63;404;0.07;2.2;10;10;10;0.34;0.0;0.0;3.25;
429;0.0;229;0.9;51;366;0.06;2.3;0.0;0.0;0.0;0.77;0.14;0.03;1.92;
430;0.0;201;1.0;63;246;0.07;3.1;0.0;0.0;0.0;0.71;0.05;0.0;10.63;
431;0.0;159;0.9;88;248;0.05;2.3;0.0;0.0;0.0;0.62;0.0;0.0;8.27;
432;0.0;238;0.5;39;311;0.03;1.8;0.0;0.0;0.0;0.75;0.07;0.11;12.43;
433;0.0;195;0.5;53;334;0.01;0.9;0.0;0.0;0.0;0.95;0.0;0.0;13.83;
434;0.01;31;1.4;616;228;0.23;0.6;0.0;0.0;0.0;0.07;0.03;0.0;0.0;
435;0.01;247;1.3;62;395;0.09;3.3;0.0;0.0;0.0;0.77;0.09;0.0;6.57;
436;0.0;192;0.9;102;256;0.16;1.7;0.0;0.0;0.0;1.06;0.06;0.0;5.67;
437;0.01;42;0.6;1158;24;0.05;1.4;0.0;0.0;0.0;0.20;0.06;0.0;1.43;
438;0.04;274;0.7;1021;295;0.04;1.3;0.0; ; ;0.62;0.03;0.0;3.78;
439;0.04;244;0.8;1039;307;0.04;1.5;0.0; ; ;0.50;0.03;0.0;4.00;
440;0.76;174;2.2;40;288;0.51;4.1;0.0;;;0.04;0.04;0.0;1.81;0.0
441;0.39;126;1.7;39;242;0.13;2.8;0.0;;;0.09;0.03;0.0;1.20;0.0
442;0.72;166;2.0;836;322;0.16;2.8;0.0;;;0.12;0.10;0.0;1.50;0.0
443;0.03;354;1.3;1574;548;0.05;3.2;0.0;;;0.88;0.23;0.0;12.49;
444;0.0;35;0.4;50;58;0.11;0.2;0.0;0.0;0.0;0.0;0.0;0.0;5.10;
445;0.01;95;0.9;125;171;0.10;0.8;0.0;0.0;0.0;0.0;0.0;0.0;5.03;
