id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiami0(mg);Riboflavi0(mg);Piridoxi0(mg);Niaci0(mg);Vitami0_C(mg)
511;2.58;169;8.1;1;1609;1.30;0.5;0.0;;;0.0;0.0;0.0;11.89;0.0
512;0.17;358;2.3;382;886;0.0;1.1;52;;;0.0;1.41;0.0;0.0;0.0
513; ; ; ;10052; ; ; ;0.0;;; ; ; ; ; 
514;0.20;419;2.6;40;576;0.29;11.0;0.0;;;0.30;0.36;0.0;0.0;0.0
515;0.03;2;0.3;235;7;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;40.0
516;;;;23432;20468;;;0.0;;;;;;;
517;;;;39943;;;;0.0;;;;;;;
518;0.07;47;0.5;5024;165;0.0;0.2;0.0;;;0.83;0.06;0.15;2.10;0.0
519;;;;32560;;;;0.0;;;;;;;
