id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiami0(mg);Riboflavi0(mg);Piridoxi0(mg);Niaci0(mg);Vitami0_C(mg)
484;0.03;314;1.4;216;127;0.03;1.4;59;;;0.03;0.24;0.0;0.0;0.0
485;0.0;279;3.3;129;79;0.04;2.1;305;;;0.11;0.12;0.0;0.97; 
486;0.0;15;0.1;181;146;0.03;0.0;0.0;;;0.0;0.08;0.0;0.0; 
487;0.06;386;2.9;45;87;0.0;2.9;148;;;0.18;0.22;0.0;0.0; 
488;0.02;184;1.5;146;139;0.04;1.2;32;;;0.08;0.30;0.0;0.0; 
489;0.0;164;1.6;168;150;0.06;1.1;79;;;0.07;0.58;0.0;0.75; 
490;0.03;422;2.1;166;184;0.04;1.5;94;;;0.06;0.32;0.0;0.0;0.0
