id;Descricao;Umidade(%);Energia(kcal);Energia(kJ);Proteina(g);Lipideos(g);Colesterol(mg);Carboidratos(g);Fibra_Alimentar(g);Cinzas(g);Calcio(mg);Magnesio(mg)
520;Azeitona, preta, conserva;68,5;194;812;1,2;20,3;NA;5,5;4,6;4,5;59;5
521;Azeitona, verde, conserva;76,3;137;573;0,9;14,2;NA;4,1;3,8;4,5;46;4
522;Chantilly, spray, com gordura vegetal;55,1;315;1318;0,5;27,3;Tr;16,9;NA;0,2;2;1
523;Leite, de coco;78,0;166;695;1,0;18,4;NA;2,2;0,7;0,4;6;17
524;Maionese, tradicional com ovos;58,4;302;1264;0,6;30,5;42;7,9;NA;2,6;3;1
