id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiamina(mg);Riboflavina(mg);Piridoxina(mg);Niacina(mg);Vitamina_C(mg)
224;0,08;44;0,8;1;306;0,35;0,7;NA;1020;510;0,11;0,11;0,03;Tr;13,4
225;0,02;4;0,1;3;68;0,02;0,1;NA;;;0,03;Tr;Tr;Tr;3,9
226;0,04;11;0,2;3;222;1,36;0,1;NA;148;74;0,03;0,03;Tr;Tr;78,5
227;0,01;11;0,2;2;126;0,02;0,1;NA;118;59;0,03;0,04;Tr;1,03;82,2
228;0,04;3;0,2;5;9;0,02;0,0;NA;;;Tr;Tr;Tr;Tr;Tr
229;0,17;9;0,1;1;148;0,10;0,1;NA;162;81;0,02;0,06;0,05;Tr;17,4
230;0,05;14;0,1;2;157;0,09;0,1;NA;787;393;0,09;0,03;Tr;Tr;65,5
231;0,12;9;0,1;7;131;0,06;0,1;NA;;;Tr;0,07;0,03;Tr;24,9
232;0,34;14;0,1;Tr;138;0,06;0,1;NA;118;59;Tr;0,04;0,03;Tr;7,9
233;0,12;51;0,6;2;338;0,19;0,4;NA;114;57;Tr;0,05;0,05;Tr;19,8
234;0,07;15;0,3;8;228;0,05;0,2;NA;;;Tr;0,09;0,06;Tr;7,3
235;0,07;14;0,3;22;201;0,05;0,1;NA;;;Tr;0,08;0,05;1,92;13,7
236;0,14;12;0,2;Tr;104;0,04;0,1;NA;61;31;Tr;Tr;Tr;Tr;6,1
237;0,05;10;0,2;11;216;0,04;0,1;NA;2;1;Tr;Tr;0,02;Tr;8,7
238;0,05;19;0,1;1;159;0,06;0,1;NA;;;0,08;0,07;0,05;Tr;21,8
239;0,05;14;0,1;2;125;0,07;0,2;NA;;;0,03;Tr;Tr;Tr;112,0
240;0,33;22;0,3;Tr;184;0,06;0,2;NA;;;Tr;0,03;0,03;Tr;63,6
241;0,07;10;0,1;Tr;113;0,12;0,1;NA;170;85;Tr;Tr;Tr;Tr;3,2
242;0,64;34;0,3;Tr;298;0,21;1,0;NA;60;30;0,17;0,48;0,06;2,57;8,3
243;0,04;12;0,3;1;102;0,08;0,1;NA;;;0,06;Tr;Tr;Tr;2,4
244;0,04;12;0,1;Tr;116;0,07;0,1;NA; ; ;Tr;Tr;Tr;Tr;2,8
245;0,05;15;0,2;Tr;124;0,02;0,1;NA;;;0,05;Tr;Tr;Tr;3,3
246;0,03;9;0,6;3;95;0,04;0,1;NA;48;24;Tr;Tr;Tr;Tr;Tr
247;0,15;34;0,2;1;283;0,11;0,2;NA;;;0,12;0,04;0,09;Tr;35,9
248;0,36;13;0,4;2;113;0,08;0,4;NA;154;77;0,03;0,10;Tr;Tr;24,9
249;0,05;12;0,4;5;87;0,06;0,1;NA;146;73;Tr;Tr;Tr;Tr;Tr
250;0,13;40;0,3;1;485;0,19;0,7;NA;;;0,12;0,17;0,05;Tr;8,1
251;0,34;55;0,6;0;723;0,29;0,7;NA;;;0,31;Tr;0,10;Tr;7,2
252;0,04;12;0,1;Tr;131;0,03;Tr;NA;47;24;0,06;0,02;0,02;Tr;48,8
253;0,02;9;Tr;Tr;119;0,02;Tr;NA;51;26;0,06;Tr;0,03;Tr;41,8
254;0,55;53;0,6;4;401;0,39;0,9;NA;2363;1181;0,04;Tr;0,11;Tr;18,0
255;0,03;13;0,1;Tr;152;0,04;0,4;NA;;;0,05;0,06;0,03;Tr;24,1
256;0,05;13;0,2;6;154;0,04;0,1;NA;;;Tr;0,06;Tr;Tr;4,0
257;0,13;12;0,1;Tr;162;0,11;Tr;NA;5;3;Tr;Tr;0,03;Tr;3,3
258;0,07;23;0,2;8;159;0,05;Tr;NA;;;0,02;0,02;Tr;Tr;1,9
259;0,20;10;0,1;10;54;0,13;0,1;NA;;;0,07;0,02;0,05;Tr;21,0
